,importance_drop
age,0.017173759223693495
credit_card_debt,0.009118680997787438
cc_dti,0.005407864146366137
debt_per_year,0.005143928928423007
years_at_address,0.004235317901546543
auto_dti,0.0035468400777204662
log_income,0.0026730460370407863
dti,0.0026281208935611034
tenure_ratio,0.0014881453777643087
income,0.0014241270483057677
total_debt,0.0013769556476521006
other_debt,0.0013747093904781017
automobile_debt,0.0010961735009041038
stability_index,0.0010602333861203942
years_at_employer,0.0010018306995968136
